config_id,mods,density,n_vars,k,n_traj,traj_length,do_learner,do_KLearner,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.9475526450527123,0,0.7245186564970335,0,0.5118710539800299,0.19985303355739378,0.17508466633533604,"{'tp': 10, 'tn': 40, 'fp': 2, 'fn': 4}",0.7142857142857143,0.8333333333333334,0.7692307692307692,0.33077247593928105,"{'tp': 11, 'tn': 13, 'fp': 1, 'fn': 3}",0.7857142857142857,0.9166666666666666,0.8461538461538461,0.22991914185509485,4,8,0.022107295008026995
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.617811022377647,0,0.932315306317354,0,0.4932815559199545,0.11334564270449717,0.16272764630666978,"{'tp': 7, 'tn': 40, 'fp': 2, 'fn': 7}",0.5,0.7777777777777778,0.6086956521739131,0.5471587667664503,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,8,0.017690064996713772
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.5783305016917655,0,1.3603089795773138,0,0.6381773011435038,0.20272561538364875,0.25924722478937806,"{'tp': 10, 'tn': 38, 'fp': 4, 'fn': 4}",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.40406101782088427,"{'tp': 14, 'tn': 14, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,5,0.014954719008528627
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,2.0026477583062325,0,0.8794386722729752,0,0.5560566044502606,0.14753628630142912,0.1910321521288022,"{'tp': 9, 'tn': 39, 'fp': 3, 'fn': 5}",0.6428571428571429,0.75,0.6923076923076924,0.4359484148476322,"{'tp': 12, 'tn': 14, 'fp': 0, 'fn': 2}",0.8571428571428571,1.0,0.923076923076923,0.1428571428571429,2,6,0.023755239002639428
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.8229056715578638,0,0.6823202752156716,0,0.5213051230249943,0.1911621324290142,0.16793773857890815,"{'tp': 8, 'tn': 39, 'fp': 3, 'fn': 6}",0.5714285714285714,0.7272727272727273,0.64,0.5079897978079986,"{'tp': 11, 'tn': 14, 'fp': 0, 'fn': 3}",0.7857142857142857,1.0,0.88,0.2142857142857143,3,5,0.01902812099433504
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.8512561518081173,0,0.9459096954369071,0,0.5168312717605084,0.13316961345464734,0.17792012678966754,"{'tp': 5, 'tn': 40, 'fp': 2, 'fn': 9}",0.35714285714285715,0.7142857142857143,0.4761904761904762,0.7034898429854359,"{'tp': 6, 'tn': 13, 'fp': 1, 'fn': 8}",0.42857142857142855,0.8571428571428571,0.5714285714285714,0.5890150893739515,9,12,0.010478977012098767
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.8615462261903497,0,1.7404308727657738,0,0.6838228182941688,0.19904589088034114,0.2973787060059293,"{'tp': 7, 'tn': 36, 'fp': 6, 'fn': 7}",0.5,0.5384615384615384,0.5185185185185186,0.6804540774213128,"{'tp': 9, 'tn': 10, 'fp': 4, 'fn': 5}",0.6428571428571429,0.6923076923076923,0.6666666666666666,0.47140807865498124,9,13,0.021401645004516467
"(3, 0.5, 4, 2, 1500, 35, True, False)",3,0.5,4,2,1500,35,True,False,0.8151846884392953,0,1.7594002336987145,0,0.6187139436641844,0.12211380171775489,0.24993752481156642,"{'tp': 7, 'tn': 38, 'fp': 4, 'fn': 7}",0.5,0.6363636363636364,0.56,0.6182486594879747,"{'tp': 11, 'tn': 14, 'fp': 0, 'fn': 3}",0.7857142857142857,1.0,0.88,0.2142857142857143,3,7,0.024659337010234594
"(3, 0.5, 4, 2, 1500, 35, True, False)",3,0.5,4,2,1500,35,True,False,0.5415210648097478,0,0.7026173552768151,0,0.4432066197634401,0.10808365480757298,0.13270267813042733,"{'tp': 7, 'tn': 39, 'fp': 3, 'fn': 7}",0.5,0.7,0.5833333333333334,0.5830951894845301,"{'tp': 9, 'tn': 13, 'fp': 1, 'fn': 5}",0.6428571428571429,0.9,0.75,0.37087871387849053,6,10,0.0193479409936117
"(3, 0.5, 4, 2, 1500, 35, True, False)",3,0.5,4,2,1500,35,True,False,0.795848427625742,0,0.7578771032959655,0,0.4914205434227079,0.17552853649313185,0.16198149790183544,"{'tp': 6, 'tn': 39, 'fp': 3, 'fn': 8}",0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6615449518785621,"{'tp': 8, 'tn': 13, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,7,9,0.02018011901236605
"(3, 0.5, 4, 2, 1500, 35, True, False)",3,0.5,4,2,1500,35,True,False,2.32645957856122,0,0.9808301134775834,0,0.5789841636025181,0.19762901651359607,0.20637686015206372,"{'tp': 10, 'tn': 38, 'fp': 4, 'fn': 4}",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.40406101782088427,"{'tp': 12, 'tn': 12, 'fp': 2, 'fn': 2}",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.20203050891044222,4,5,0.020546532003208995
